cur_gameloop,joint_action,layout,layout_name,reward,score,state,time_elapsed,time_left,trial_id,player_0_is_human,player_1_is_human,player_0_id,player_1_id
850,"[[1, 0], [-1, 0]]","['XXXPX', 'X 1 P', 'D2X X', 'O   X', 'XOSXX']",coordination_ring,0,25,"{'players': [{'position': [2, 3], 'orientation': [1, 0], 'held_object': {'name': 'onion', 'position': [2, 3]}}, {'position': [1, 1], 'orientation': [-1, 0], 'held_object': None}], 'objects': [{'name': 'soup', 'position': [3, 0], '_ingredients': [{'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}], 'cooking_tick': 8, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 8}, {'name': 'soup', 'position': [0, 1], '_ingredients': [{'name': 'onion', 'position': [0, 1]}, {'name': 'onion', 'position': [0, 1]}, {'name': 'onion', 'position': [0, 1]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",127.651,52,67,True,True,28,29
966,"[[0, 1], [0, -1]]","['XXXPX', 'X 1 P', 'D2X X', 'O   X', 'XOSXX']",coordination_ring,0,65,"{'players': [{'position': [1, 1], 'orientation': [-1, 0], 'held_object': {'name': 'soup', 'position': [1, 1], '_ingredients': [{'name': 'onion', 'position': [1, 1]}, {'name': 'onion', 'position': [1, 1]}, {'name': 'onion', 'position': [1, 1]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}}, {'position': [3, 1], 'orientation': [0, -1], 'held_object': {'name': 'onion', 'position': [3, 1]}}], 'objects': [{'name': 'soup', 'position': [4, 1], '_ingredients': [{'name': 'onion', 'position': [4, 1]}, {'name': 'onion', 'position': [4, 1]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",145.05200000000002,35,97,True,True,40,41
589,"[[0, 0], [0, 0]]","['XXXXXXXXX', 'O XSXOX S', 'X   P 1 X', 'X2  P   X', 'XXXDXDXXX']",asymmetric_advantages,0,70,"{'players': [{'position': [5, 2], 'orientation': [0, -1], 'held_object': None}, {'position': [3, 2], 'orientation': [1, 0], 'held_object': {'name': 'dish', 'position': [3, 2]}}], 'objects': [{'name': 'soup', 'position': [4, 3], '_ingredients': [{'name': 'onion', 'position': [4, 3]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}, {'name': 'soup', 'position': [4, 2], '_ingredients': [{'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}], 'cooking_tick': 15, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 15}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",88.86399999999999,91,76,True,True,32,33
168,"[[0, 0], [0, 0]]","['XXXXXXXXX', 'O XSXOX S', 'X   P 1 X', 'X2  P   X', 'XXXDXDXXX']",asymmetric_advantages,0,15,"{'players': [{'position': [5, 3], 'orientation': [-1, 0], 'held_object': None}, {'position': [3, 3], 'orientation': [0, 1], 'held_object': None}], 'objects': [{'name': 'soup', 'position': [4, 3], '_ingredients': [{'name': 'onion', 'position': [4, 3]}, {'name': 'onion', 'position': [4, 3]}, {'name': 'onion', 'position': [4, 3]}], 'cooking_tick': 1, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 1}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",25.351,155,16,True,True,8,9
84,"[[0, 0], [0, 1]]","['XXXXXXXXX', 'O XSXOX S', 'X   P 1 X', 'X2  P   X', 'XXXDXDXXX']",asymmetric_advantages,0,0,"{'players': [{'position': [5, 2], 'orientation': [-1, 0], 'held_object': {'name': 'dish', 'position': [5, 2]}}, {'position': [1, 2], 'orientation': [0, 1], 'held_object': {'name': 'onion', 'position': [1, 2]}}], 'objects': [{'name': 'soup', 'position': [4, 3], '_ingredients': [{'name': 'onion', 'position': [4, 3]}, {'name': 'onion', 'position': [4, 3]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}, {'name': 'soup', 'position': [4, 2], '_ingredients': [{'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",12.752,167,51,True,True,22,23
278,"[[0, 0], [0, 0]]","['XXXPX', 'X 1 P', 'D2X X', 'O   X', 'XOSXX']",coordination_ring,0,5,"{'players': [{'position': [3, 1], 'orientation': [1, 0], 'held_object': {'name': 'onion', 'position': [3, 1]}}, {'position': [2, 3], 'orientation': [-1, 0], 'held_object': {'name': 'soup', 'position': [2, 3], '_ingredients': [{'name': 'onion', 'position': [2, 3]}, {'name': 'onion', 'position': [2, 3]}, {'name': 'onion', 'position': [2, 3]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}}], 'objects': [{'name': 'soup', 'position': [3, 0], '_ingredients': [{'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",41.851000000000006,138,67,True,True,28,29
62,"[[0, 0], [0, 0]]","['XXXXXXXXX', 'O XSXOX S', 'X   P 1 X', 'X2  P   X', 'XXXDXDXXX']",asymmetric_advantages,0,0,"{'players': [{'position': [5, 2], 'orientation': [-1, 0], 'held_object': {'name': 'dish', 'position': [5, 2]}}, {'position': [1, 2], 'orientation': [0, -1], 'held_object': None}], 'objects': [{'name': 'soup', 'position': [4, 3], '_ingredients': [{'name': 'onion', 'position': [4, 3]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}, {'name': 'soup', 'position': [4, 2], '_ingredients': [{'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}, {'name': 'onion', 'position': [4, 2]}], 'cooking_tick': 16, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 16}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",9.451,171,101,True,True,42,43
279,"[[0, -1], [0, 0]]","['XXXPX', 'X 1 P', 'D2X X', 'O   X', 'XOSXX']",coordination_ring,0,10,"{'players': [{'position': [3, 2], 'orientation': [0, -1], 'held_object': {'name': 'onion', 'position': [3, 2]}}, {'position': [2, 1], 'orientation': [-1, 0], 'held_object': {'name': 'soup', 'position': [2, 1], '_ingredients': [{'name': 'onion', 'position': [2, 1]}, {'name': 'onion', 'position': [2, 1]}, {'name': 'onion', 'position': [2, 1]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}}], 'objects': [{'name': 'soup', 'position': [3, 0], '_ingredients': [{'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",42.002,138,97,True,True,40,41
1170,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0,65,"{'players': [{'position': [2, 1], 'orientation': [1, 0], 'held_object': {'name': 'dish', 'position': [2, 1]}}, {'position': [3, 1], 'orientation': [1, 0], 'held_object': None}], 'objects': [{'name': 'soup', 'position': [2, 0], '_ingredients': [{'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}], 'cooking_tick': 4, 'is_cooking': True, 'is_ready': False, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 4}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",175.65599999999998,4,20,True,True,10,11
443,"[[0, 0], [0, -1]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0,20,"{'players': [{'position': [1, 2], 'orientation': [0, 1], 'held_object': None}, {'position': [2, 1], 'orientation': [-1, 0], 'held_object': {'name': 'onion', 'position': [2, 1]}}], 'objects': [{'name': 'soup', 'position': [2, 0], '_ingredients': [{'name': 'onion', 'position': [2, 0]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",66.604,113,20,True,True,10,11
1124,"[[0, 0], [0, 0]]","['XXXPX', 'X 1 P', 'D2X X', 'O   X', 'XOSXX']",coordination_ring,0,85,"{'players': [{'position': [2, 1], 'orientation': [-1, 0], 'held_object': None}, {'position': [1, 2], 'orientation': [-1, 0], 'held_object': None}], 'objects': [{'name': 'soup', 'position': [4, 1], '_ingredients': [{'name': 'onion', 'position': [4, 1]}, {'name': 'onion', 'position': [4, 1]}], 'cooking_tick': -1, 'is_cooking': False, 'is_ready': False, 'is_idle': True, 'cook_time': -1, '_cooking_tick': -1}, {'name': 'soup', 'position': [3, 0], '_ingredients': [{'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}, {'name': 'onion', 'position': [3, 0]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",169.398,11,77,True,True,32,33
261,"[[0, 0], [0, 0]]","['XXPXX', 'O  2O', 'X1  X', 'XDXSX']",cramped_room,0,10,"{'players': [{'position': [2, 1], 'orientation': [0, -1], 'held_object': {'name': 'onion', 'position': [2, 1]}}, {'position': [3, 2], 'orientation': [0, 1], 'held_object': {'name': 'dish', 'position': [3, 2]}}], 'objects': [{'name': 'soup', 'position': [2, 0], '_ingredients': [{'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}, {'name': 'onion', 'position': [2, 0]}], 'cooking_tick': 20, 'is_cooking': False, 'is_ready': True, 'is_idle': False, 'cook_time': 20, '_cooking_tick': 20}], 'bonus_orders': [], 'all_orders': [{'ingredients': ['onion']}, {'ingredients': ['onion', 'onion']}, {'ingredients': ['onion', 'onion', 'onion']}, {'ingredients': ['tomato']}, {'ingredients': ['tomato', 'tomato']}, {'ingredients': ['tomato', 'tomato', 'tomato']}, {'ingredients': ['onion', 'tomato']}, {'ingredients': ['onion', 'onion', 'tomato']}, {'ingredients': ['onion', 'tomato', 'tomato']}], 'timestep': 0}",39.302,141,80,True,True,34,35
